Date,Adj Close,Close,High,Low,Open,Volume
2025-09-02,232.04611206054688,233.89999389648438,234.39999389648438,231.47000122070312,231.99000549316406,33108600
2025-09-03,231.8179473876953,233.6699981689453,235.25999450683594,232.4600067138672,233.27000427246094,33252400
2025-09-04,234.71478271484375,236.58999633789062,236.6699981689453,233.5800018310547,234.22999572753906,30323800
2025-09-05,235.88543701171875,237.77000427246094,239.67999267578125,234.9499969482422,237.72000122070312,47542500
2025-09-08,236.3616485595703,238.25,238.55999755859375,236.38999938964844,238.50999450683594,31487700
2025-09-09,234.97274780273438,236.85000610351562,237.9600067138672,235.4199981689453,237.89999389648438,35395800
2025-09-10,234.55604553222656,236.42999267578125,238.27000427246094,235.4600067138672,237.30999755859375,33910200
2025-09-11,238.8914337158203,240.8000030517578,240.92999267578125,236.24000549316406,236.85000610351562,43629800
2025-09-12,236.45091247558594,238.33999633789062,240.32000732421875,238.1999969482422,240.1999969482422,46097600
2025-09-15,237.4529266357422,239.35000610351562,240.0399932861328,238.5500030517578,239.22999572753906,33014000
2025-09-16,237.06192016601562,238.27999877929688,238.92999267578125,236.75999450683594,238.4499969482422,37059300
2025-09-17,237.66880798339844,238.88999938964844,244.27999877929688,237.02000427246094,238.82000732421875,79955600
2025-09-18,243.58839416503906,244.83999633789062,245.14999389648438,240.1300048828125,240.8000030517578,49167700
2025-09-19,241.73788452148438,242.97999572753906,245.57000732421875,242.50999450683594,245.57000732421875,56092000
2025-09-22,243.14068603515625,244.38999938964844,244.7899932861328,241.11000061035156,242.24000549316406,53572900
2025-09-23,242.59349060058594,243.83999633789062,247.17999267578125,243.44000244140625,245.00999450683594,41854500
2025-09-24,240.36495971679688,241.60000610351562,244.61000061035156,241.55999755859375,243.89999389648438,36002200
2025-09-25,238.06675720214844,239.2899932861328,239.99000549316406,237.5500030517578,238.97999572753906,37209500
2025-09-26,240.1062774658203,241.33999633789062,241.67999267578125,239.3300018310547,239.6199951171875,28942800
2025-09-29,240.3848419189453,241.6199951171875,242.92999267578125,240.80999755859375,242.83999633789062,26391500
2025-09-30,240.72311401367188,241.9600067138672,242.1300048828125,239.39999389648438,241.11000061035156,33447700
2025-10-01,241.25039672851562,242.49000549316406,243.0399932861328,240.5500030517578,240.57000732421875,28520000
2025-10-02,242.7725830078125,244.02000427246094,244.08999633789062,241.47000122070312,243.0,28687400
2025-10-03,244.5733184814453,245.8300018310547,248.08999633789062,245.02999877929688,245.35000610351562,34579600
2025-10-06,245.54830932617188,246.80999755859375,248.47999572753906,246.07000732421875,247.72999572753906,31507400
2025-10-07,242.911865234375,244.16000366210938,247.63999938964844,243.19000244140625,247.36000061035156,31766600
2025-10-08,245.4587860107422,246.72000122070312,246.9600067138672,243.8000030517578,245.27999877929688,25825000
2025-10-09,243.8769073486328,245.1300048828125,247.25,244.00999450683594,246.30999755859375,26243100
2025-10-10,236.5744171142578,237.7899932861328,246.88999938964844,237.55999755859375,245.75,70569400
2025-10-13,243.1605987548828,244.41000366210938,244.6300048828125,241.39999389648438,241.8300018310547,36298600
2025-10-14,246.63275146484375,247.89999389648438,249.60000610351562,240.36000061035156,241.22999572753906,45320800
2025-10-15,249.05032348632812,250.3300018310547,252.77000427246094,247.05999755859375,250.36000061035156,45369000
2025-10-16,243.80726623535156,245.05999755859375,251.25999450683594,244.0,250.97000122070312,52740400
2025-10-17,242.1656951904297,243.41000366210938,245.16000366210938,241.47000122070312,243.32000732421875,55379500
2025-10-20,246.89141845703125,248.16000366210938,248.3300018310547,246.13999938964844,246.6199951171875,32545000
2025-10-21,245.7274169921875,246.99000549316406,248.3699951171875,245.50999450683594,247.42999267578125,26337900
2025-10-22,242.09605407714844,243.33999633789062,246.86000061035156,240.77000427246094,246.02999877929688,46578400
2025-10-23,245.16030883789062,246.4199981689453,247.1199951171875,243.67999267578125,244.2899932861328,28591000
2025-10-24,248.15492248535156,249.42999267578125,251.11000061035156,248.97000122070312,249.8000030517578,26627000
2025-10-27,249.02047729492188,250.3000030517578,252.2100067138672,249.5,251.77999877929688,31798100
2025-10-28,247.6873321533203,248.9600067138672,250.89999389648438,248.11000061035156,249.5500030517578,28075900
2025-10-29,245.57815551757812,246.83999633789062,251.13999938964844,244.69000244140625,248.83999633789062,56235300
2025-10-30,243.5983428955078,244.85000610351562,248.13999938964844,244.6300048828125,245.27000427246094,44538700
2025-10-31,244.97128295898438,246.22999572753906,246.7899932861328,243.69000244140625,244.99000549316406,37214700
2025-11-03,244.18531799316406,245.44000244140625,246.25999450683594,242.49000549316406,246.1699981689453,28887900
2025-11-04,239.9669952392578,241.1999969482422,244.05999755859375,241.0,241.7899932861328,34468700
2025-11-05,243.42919921875,244.67999267578125,245.72999572753906,241.63999938964844,241.9600067138672,38229200
2025-11-06,239.121337890625,240.35000610351562,244.7899932861328,240.0,244.25999450683594,40601200
2025-11-07,240.37490844726562,241.61000061035156,241.66000366210938,236.27000427246094,238.41000366210938,54978900
2025-11-10,242.78253173828125,244.02999877929688,245.24000549316406,242.25,245.00999450683594,31238000
2025-11-11,242.99147033691406,244.24000549316406,244.74000549316406,242.52000427246094,243.3699951171875,27357900
2025-11-12,242.39451599121094,243.63999938964844,246.3800048828125,243.3300018310547,244.83999633789062,34543200
2025-11-13,235.57952880859375,236.7899932861328,242.67999267578125,235.83999633789062,241.83999633789062,65710000
2025-11-14,236.26600646972656,237.47999572753906,238.72999572753906,233.27000427246094,233.33999633789062,58344400
2025-11-17,231.57012939453125,232.75999450683594,237.83999633789062,231.75999450683594,236.4600067138672,55765900
2025-11-18,232.27651977539062,233.47000122070312,235.0800018310547,230.9600067138672,231.30999755859375,63092500
2025-11-19,232.2366943359375,233.42999267578125,236.3699951171875,232.42999267578125,233.8000030517578,57280500
2025-11-20,227.9387969970703,229.11000061035156,239.10000610351562,228.89999389648438,237.24000549316406,95483000
2025-11-21,234.3956298828125,235.60000610351562,237.11000061035156,229.5800018310547,229.9600067138672,99504100
2025-11-24,238.67364501953125,239.89999389648438,240.38999938964844,235.47999572753906,235.9600067138672,36135300
2025-11-25,243.8769073486328,245.1300048828125,245.5500030517578,240.0399932861328,240.74000549316406,46160800
2025-11-26,246.0358123779297,247.3000030517578,248.8300018310547,244.77000427246094,245.0500030517578,34636600
2025-11-28,247.47840881347656,248.75,248.80999755859375,247.07000732421875,248.00999450683594,18911800
2025-12-01,244.36439514160156,245.6199951171875,247.69000244140625,245.33999633789062,245.57000732421875,36920000
2025-12-02,243.9167022705078,245.1699981689453,247.3699951171875,245.1199951171875,247.3699951171875,31918500
2025-12-03,248.35389709472656,249.6300048828125,249.83999633789062,245.47999572753906,245.97000122070312,32846300
2025-12-04,250.53271484375,251.82000732421875,252.66000366210938,248.5399932861328,248.97000122070312,40245800
2025-12-05,249.4880828857422,250.77000427246094,252.66000366210938,250.27999877929688,251.49000549316406,36956600
2025-12-08,249.58755493164062,250.8699951171875,252.77000427246094,250.17999267578125,252.6999969482422,29100000
2025-12-09,250.1049041748047,251.38999938964844,252.9499969482422,250.10000610351562,250.25,30170100
2025-12-10,253.50741577148438,254.80999755859375,256.57000732421875,250.5399932861328,250.89999389648438,51105200
2025-12-11,256.4821472167969,257.79998779296875,258.010009765625,254.32000732421875,254.63999938964844,41345200
2025-12-12,252.55233764648438,253.85000610351562,258.20001220703125,253.44000244140625,257.95001220703125,57657700
2025-12-15,250.6421356201172,251.92999267578125,255.69000244140625,251.74000549316406,255.5500030517578,43120100
2025-12-16,249.4562530517578,249.89999389648438,252.16000366210938,248.47000122070312,250.33999633789062,43115300
2025-12-17,246.8009796142578,247.24000549316406,252.16000366210938,246.6999969482422,250.3699951171875,38132400
2025-12-18,248.26837158203125,248.7100067138672,251.36000061035156,248.2100067138672,250.17999267578125,39068000
