Date,Adj Close,Close,High,Low,Open,Volume
2024-07-05,41.47999954223633,41.47999954223633,41.79999923706055,41.119998931884766,41.20000076293945,644500
2024-07-08,40.79999923706055,40.79999923706055,41.040000915527344,40.47999954223633,41.0,604400
2024-07-09,40.79999923706055,40.79999923706055,41.08000183105469,40.52000045776367,40.63999938964844,610750
2024-07-10,40.720001220703125,40.720001220703125,40.91999816894531,40.20000076293945,40.720001220703125,552600
2024-07-11,40.84000015258789,40.84000015258789,41.47999954223633,40.20000076293945,40.279998779296875,2536100
2024-07-12,40.15999984741211,40.15999984741211,40.279998779296875,39.560001373291016,40.2400016784668,922925
2024-07-15,40.959999084472656,40.959999084472656,41.040000915527344,39.720001220703125,39.91999816894531,1290950
2024-07-16,41.119998931884766,41.119998931884766,41.20000076293945,40.52000045776367,40.63999938964844,788075
2024-07-17,42.52000045776367,42.52000045776367,43.15999984741211,41.68000030517578,42.279998779296875,2966000
2024-07-18,43.79999923706055,43.79999923706055,44.439998626708984,41.400001525878906,41.68000030517578,2190725
2024-07-19,45.720001220703125,45.720001220703125,46.2400016784668,43.959999084472656,44.47999954223633,1826900
2024-07-22,43.2400016784668,43.2400016784668,45.0,43.0,44.880001068115234,1431575
2024-07-23,42.84000015258789,42.84000015258789,43.47999954223633,42.2400016784668,43.20000076293945,1199575
2024-07-24,48.79999923706055,48.79999923706055,49.15999984741211,44.20000076293945,44.20000076293945,3020575
2024-07-25,49.20000076293945,49.20000076293945,50.560001373291016,46.15999984741211,48.119998931884766,3663275
2024-07-26,46.400001525878906,46.400001525878906,48.040000915527344,46.279998779296875,47.720001220703125,1265475
2024-07-29,45.68000030517578,45.68000030517578,46.79999923706055,45.279998779296875,45.959999084472656,758300
2024-07-30,47.08000183105469,47.08000183105469,48.68000030517578,45.2400016784668,45.400001525878906,1416825
2024-07-31,45.79999923706055,45.79999923706055,46.08000183105469,44.20000076293945,45.7599983215332,845650
2024-08-01,49.91999816894531,49.91999816894531,51.599998474121094,45.36000061035156,45.599998474121094,2181425
2024-08-02,61.880001068115234,61.880001068115234,63.7599983215332,53.279998779296875,53.79999923706055,11657525
2024-08-05,88.5199966430664,88.5199966430664,90.08000183105469,71.68000030517578,89.4000015258789,10858125
2024-08-06,70.36000061035156,70.36000061035156,79.5199966430664,61.279998779296875,76.68000030517578,2495400
2024-08-07,68.23999786376953,68.23999786376953,71.0,59.7599983215332,61.040000915527344,2677550
