window,start,np_pct,dd_pct,dbr,tbr,orders,days_to_6,pass_any,pass_fast15,pass_fast10,spy_ret3,spy_ret5,spy_ret10,spy_ret20,spy_rsma20,spy_rsma50,spy_rv5,spy_rv10,spy_rv20,spy_rng5,spy_rng10,spy_dd20,spy_dd50,spy_gap1,qqq_ret3,qqq_ret5,qqq_ret10,qqq_ret20,qqq_rsma20,qqq_rsma50,qqq_rv5,qqq_rv10,qqq_rv20,qqq_rng5,qqq_rng10,qqq_dd20,qqq_dd50,qqq_gap1,iwm_ret3,iwm_ret5,iwm_ret10,iwm_ret20,iwm_rsma20,iwm_rsma50,iwm_rv5,iwm_rv10,iwm_rv20,iwm_rng5,iwm_rng10,iwm_dd20,iwm_dd50,iwm_gap1,vixy_ret3,vixy_ret5,vixy_ret10,vixy_ret20,vixy_rsma5,vixy_rsma10,vixy_rsma20,vixy_rv5,vixy_rng5,vixy_close,vix_ret3,vix_ret5,vix_ret10,vix_ret20,vix_rsma5,vix_rsma10,vix_rsma20,vix_rv5,vix_rng5,vix_close,risk_on_breadth5,trend_breadth20,qqq_minus_spy_ret5,iwm_minus_spy_ret5
W_2023-01-01_2023-02-14,2023-01-01,-2.468,3.4,0,0,27,-1,0,0,0,0.0027005736648659795,0.004491467350271616,-0.01847910098504013,-0.06124505844170813,-0.018224590890710934,-0.016995613440745072,0.18264904376018942,0.18849640781254762,0.1881059953826539,0.013082682311351002,0.014822512792845674,-0.0683573247244651,-0.0683573247244651,-0.00730228399525601,0.010243616149100188,-0.0017994113388654087,-0.0383185211016438,-0.09342231488276365,-0.035816521034342186,-0.042265078915628584,0.2476405601625511,0.23659084457050833,0.2321769741921399,0.017646236311002456,0.0192145166355823,-0.10307196712555422,-0.10307196712555422,-0.010584023789141452,0.006581222616411031,0.004377848387763006,-0.007513616350529717,-0.06739412521951449,-0.016057620497035963,-0.029580103610040487,0.24487403893256993,0.21732107823489216,0.21609622840680842,0.01595138153778842,0.016777256720084163,-0.07677644791453675,-0.08018567811778843,-0.008636029241720678,-0.01811905475818487,-0.04450038195017203,-0.058726206654359236,-0.04047213730285726,-0.011466293114412052,-0.023427426339434065,-0.037998202701819084,0.186231181389751,0.028098170414354584,227.6000061035156,0.0009238086889640229,-0.01365494976953363,-0.05081033076165686,0.09223789867095111,0.005381830947781774,0.0017103538083662606,-0.00966569394922523,0.5889969046318695,0.05708359518073471,21.670000076293945,2,0,-0.006290878689137025,-0.00011361896250861037
W_2023-01-08_2023-02-21,2023-01-08,-1.689,1.7,0,0,11,-1,0,0,0,0.0190640699238942,0.012100939133413258,0.004789828685795694,-0.012920991562024753,0.00420095489945016,-0.00393470778989502,0.21144744209181032,0.2027411846481745,0.20112293445047796,0.01644613140243346,0.016684076099100036,-0.05459330116506389,-0.05459330116506389,0.008513839493854494,0.01633384992132325,0.008857473840030883,-0.017005025439684074,-0.041813749108367326,-0.0120607702038813,-0.02995033054343932,0.2581947020289182,0.270982256315442,0.2516272236379858,0.022260455539060198,0.02142380480931976,-0.09458372617895838,-0.09458372617895838,0.006766647381721629,0.024106159640730374,0.01561335791960361,0.009550926622311273,-0.010916740160252125,0.01075760270430326,-0.012415149183896634,0.21906209163555063,0.23191646426600068,0.21593383045428996,0.01882007753667922,0.018376054222212196,-0.048542636027763764,-0.06319896540321468,0.009327558983726652,-0.045013291845948156,-0.05336838093305529,-0.04416961249818874,-0.12388666438670282,-0.026978458061788113,-0.04828924838748083,-0.0704866946437347,0.2475000297399898,0.030549792072368253,216.3999938964844,-0.07729259769643937,-0.014459018916467614,0.05281512117888787,-0.06834220121484991,-0.041027525099718076,-0.03179988234986897,-0.042743593679186453,0.7425164817980899,0.05500021914077302,21.1299991607666,3,2,-0.003243465293382375,0.003512418786190352
W_2023-01-15_2023-02-28,2023-01-15,-1.789,1.9,0,0,15,-1,0,0,0,0.02027757104822636,0.02685016952244723,0.03927602092297344,-0.002253364822828785,0.033895430024808215,0.02031306449630521,0.07781489200706576,0.15208030115722457,0.19513553073855208,0.013435166729114914,0.014940649065774188,-0.0015033978810814475,-0.02920897103368869,-0.00841393694525156,0.02983548381431822,0.045275349629508854,0.0545338486944813,-0.019336177990618153,0.04141262757794606,0.01427208306846861,0.07651872594912608,0.18893055394398794,0.25286548882901383,0.018311702188635315,0.02028607886384776,-0.007208255802016672,-0.05359068782146359,-0.009138103940218134,0.03623072818094952,0.05332808381043175,0.06977407218973442,0.03807092800602119,0.06095156419314596,0.03957789767677644,0.0988148188091525,0.17140367321173774,0.22293030185350143,0.01632033328731248,0.01757020541199585,-0.001547951808485104,-0.013241161316538075,-0.00715708883360957,-0.0671785048465694,-0.10166358881934057,-0.14960634861726385,-0.14436621255426274,-0.055577174150241104,-0.09209792271527417,-0.13330364434235087,0.4125885318544105,0.03793186590584507,194.3999938964844,-0.10835760692436125,-0.13156644059213563,-0.14412313785530928,-0.13197725112257497,-0.08996228739267897,-0.1302905082108291,-0.14348392070773142,0.9681504622047586,0.07751214577308554,18.350000381469727,3,3,0.018425180107061623,0.026477914287984516
W_2023-01-22_2023-03-07,2023-01-22,-1.789,1.9,0,0,15,-1,0,0,0,-0.0047514497902314545,-0.002720643378459564,0.04349201272506886,0.040311126276962206,0.021753707249159815,0.00990209614220161,0.2049227964570307,0.18550729736166735,0.18215809026339333,0.014836495003804984,0.015225966912140815,-0.010868765420152915,-0.035591575188522184,0.0037566678675607515,0.004049101712936487,0.013008439496889235,0.08066368677515934,0.04874966132780778,0.04256871168328202,0.016130522365989997,0.25470197890414137,0.21497563541803896,0.23720148849812056,0.018686006195050314,0.020269382061754576,-0.007060345457823747,-0.0478308137074992,0.005960438614636127,-0.009527962575211713,-0.004251243271471861,0.06540765251849101,0.07009018763316255,0.036987188517482394,0.02547274639969177,0.20485636415159933,0.19935830644032146,0.20969888358854705,0.01739745215400131,0.017597936640142794,-0.02074520156887094,-0.02384471581913672,0.003680583676364123,0.0030612556301816696,-0.013052163075093492,-0.11281588136925325,-0.16269163735837622,-0.010269816315031433,-0.038348634205158105,-0.09153918874897682,0.431951447750567,0.04397679354578273,196.6000061035156,0.025309904735032474,0.054168903977505733,-0.1162065364823327,-0.07588450630836929,0.008433244330192213,-0.01742400076769779,-0.05295799448187466,0.6521411175717874,0.07208738619068573,19.850000381469727,1,3,0.0157290828753488,-0.0015305998930122966
W_2023-01-29_2023-03-14,2023-01-29,-0.1,0.8,0,0,4,-1,0,0,0,0.013693104201893735,0.02475494511492138,0.021966952358950742,0.07704558150990959,0.03322159503787092,0.031368137980466004,0.09734406652012342,0.15783943194363892,0.1605094797756577,0.013523817718582607,0.014180156361193796,-0.006076075470591968,-0.011717697563946361,-0.0026930113351219887,0.027360733717220365,0.04804024848486277,0.06167361664758286,0.1390234633355536,0.06834089942671362,0.05994301775908828,0.18314304706119064,0.2167209443846201,0.2087478201535876,0.01980513811208177,0.019245572153566048,-0.006705558688781643,-0.006705558688781643,-0.004568065571075819,0.014176479212031579,0.02453528269373373,0.02017973396679662,0.11171056815881819,0.04135941901596962,0.047316536142870014,0.08368745570733199,0.15493048724181088,0.17972255301028167,0.016173429495235026,0.016785440824618168,-0.003783506091207478,-0.003783506091207478,-0.003075953747159208,-0.03088393481100915,-0.07426249059131906,-0.08634536752885213,-0.21416236958709944,-0.029022633218897864,-0.05719023156745573,-0.11344927743402244,0.19842765490779674,0.041081660127069555,182.0,-0.03593752638747172,-0.06750630361895593,-0.016994142120061673,-0.16395660618056784,-0.02916184602456451,-0.044645158881942426,-0.09226882611163678,0.1791587647519868,0.06392412150472628,18.51000022888184,3,3,0.02328530336994139,-0.00021966242118764967
W_2023-02-05_2023-03-21,2023-02-05,-0.1,0.8,0,0,4,-1,0,0,0,0.014441042507708834,0.016441563666327985,0.04160351878741264,0.08690495228099149,0.03217943800849943,0.04470270187870895,0.2181784790858153,0.15981727069215115,0.1685292122886623,0.016224361594837793,0.014874089656710202,-0.014247786306477828,-0.014247786306477828,-0.012452618783548157,0.039236975596295354,0.03348404301344643,0.08313287324495322,0.17050236406826236,0.06955718100228836,0.08940381672603603,0.3936523096146148,0.29028031193577963,0.2486179153243416,0.023146159440287205,0.02147564877618449,-0.023909717467227698,-0.023909717467227698,-0.02175028471944769,0.028775902906668982,0.039086420458592785,0.06458069952776446,0.13421242400036837,0.05416096428942496,0.08258275559148465,0.270142896609209,0.1901397635049646,0.1896091303803982,0.022026772944285546,0.019100101219760288,-0.011392096136959351,-0.011392096136959351,-0.011143639735017669,-0.0043716013757257866,0.0010988843310011376,-0.07324521214760993,-0.17779787035235262,0.0010988843310011376,-0.013642292419920654,-0.06362423708456688,0.44942150963495375,0.0512689820738242,182.1999969482422,-0.05515462452907449,-0.009724489624528876,-0.076574328894352,-0.18388242783241304,-0.027792519640511437,-0.03322785407032591,-0.06388846920865898,0.9943144505530149,0.08782919387616532,18.32999992370605,3,3,0.017042479347118444,0.0226448567922648
W_2023-02-12_2023-03-28,2023-02-12,-0.1,0.8,0,0,4,-1,0,0,0,-0.01722101653325203,-0.010452279604215131,0.005817432241541853,0.027912175857393917,0.009788815016801289,0.03090962696144328,0.1562125072153366,0.18451386008875525,0.1676098951475331,0.014078843211358699,0.015151602403098246,-0.02455114406447656,-0.02455114406447656,-0.0030214719039845872,-0.03285140220528593,-0.021163957880199424,0.011611430257251643,0.07400116580325045,0.020114715525372695,0.059243456299327146,0.23149374103207768,0.3181484495222535,0.26775100532412116,0.020593532021845905,0.02186984573106656,-0.044567651094023275,-0.044567651094023275,-0.007292434841104856,-0.026945517042244904,-0.03391039011267083,0.0038505945800633157,0.024108032521099387,0.002819115049894405,0.04095330673552833,0.1699601061267794,0.2455247031602729,0.20021095537102754,0.019139805900753433,0.02058328942251949,-0.04491617582542495,-0.04491617582542495,-0.003422281480281752,0.08388519428388252,0.07793631825513159,0.07912084558507915,-0.014056240435010192,0.03695878509231476,0.057619784041380795,0.03712305344281086,0.44003134125448273,0.04542740034298409,196.3999938964844,0.10021440806671511,0.1200218642714892,0.1091302232731357,0.09028150662917622,0.03728783733723651,0.06246445869074524,0.06103677759793058,0.71695077798658,0.07339874172938717,20.530000686645508,0,3,-0.010711678275984293,-0.0234581105084557
W_2023-02-19_2023-04-04,2023-02-19,-0.1,0.8,0,0,4,-1,0,0,0,-0.013038010594770277,-0.0019115742646863554,-0.012343873560202723,0.02874609665163863,-0.0023516521782555033,0.026884188695803113,0.14716627885875683,0.14379323945555988,0.15420716658314146,0.011714621978304616,0.012896732594831659,-0.02641578699400071,-0.02641578699400071,-0.005437447896886045,-0.01822329694503866,0.004871509494866366,-0.016395548807095373,0.06537431535709604,0.0034652937769648062,0.05872635147318439,0.2197021773003666,0.21722764916456214,0.261822359029268,0.01714150255710579,0.018867517289475853,-0.039913253334625365,-0.039913253334625365,-0.007352392213982465,0.0032206659065407983,0.014817967318561553,-0.01959490584655854,0.04372034095445443,0.00692120259615292,0.05177802548328736,0.13802235926911835,0.16744160375661116,0.18692203926681764,0.018085942926308617,0.018612874413531023,-0.030763774932319188,-0.030763774932319188,-0.0037383239765637483,0.03732164196297716,-0.037678177833267545,0.03732164196297716,-0.03865720176790821,0.019197587478800848,0.008430265221152977,0.015746759472392124,0.5967564975949038,0.039236596683175064,189.0,0.05869913375506819,-0.0248417053981681,0.09219861107974991,0.00856423541697482,0.024879719572296954,0.01815595500232514,0.03668800877671741,1.0543986441415412,0.08665661426560496,20.020000457763672,2,2,0.006783083759552722,0.01672954158324791
W_2023-02-26_2023-04-11,2023-02-26,0.071,0.3,0,0,4,-1,0,0,0,-0.006790426921109094,-0.029146649191887364,-0.026308657916979783,-0.020679419684218603,-0.02766295152382614,-0.001205958421663933,0.15498783513155742,0.152252389217912,0.16676193768002726,0.0112293758515464,0.011463015469037208,-0.0524252176705613,-0.0524252176705613,-0.013078396112615392,-0.007414184555425529,-0.03775134240120326,-0.03258415145491611,-0.005079396785219514,-0.030551638821743055,0.022764728996486072,0.206798224056879,0.21353341068008494,0.26814002945102755,0.014179400507950832,0.01583015059695798,-0.06959317483416627,-0.06959317483416627,-0.01704736012982668,0.00042683580099756036,-0.02642788907256799,-0.012741527206165504,-0.0055685355608443565,-0.022861255558666138,0.017576240167003432,0.23630957788211565,0.19461783768166502,0.21690731337854596,0.01535143780604202,0.01657947327698132,-0.05896818390003966,-0.05896818390003966,-0.013894784973446107,-0.028515181745386697,0.05106386225274262,0.019607858575435344,0.06695469416632238,0.010845136778480757,0.03347284351710256,0.052575542456434476,0.7439370189245376,0.044820064149226915,197.6000061035156,-0.05247051678637704,0.0743678727975301,0.04635446809560939,0.1569674642771821,0.003333629941731031,0.051074349701623056,0.09064371725035403,1.2004807442617234,0.07185048630580407,21.670000076293945,0,0,-0.008604693209315895,0.0027187601193193744
W_2023-03-05_2023-04-18,2023-03-05,0.071,0.3,0,0,4,-1,0,0,0,0.020012094282417348,0.019703308598784552,-0.010017626016751047,-0.030207774784695274,-0.0024359712100167075,0.016606667918039886,0.13284894046312803,0.15887069883780253,0.15130130420093815,0.011419213342715904,0.011324294597131152,-0.030649684010558675,-0.03375485931389821,0.0047761341045847484,0.020847510451303952,0.026828803866765893,-0.011935361895426433,-0.03862443377958713,-0.0009251544612997042,0.04464415463903704,0.17208564695244677,0.20956008873081589,0.2150302794452386,0.014356171677137056,0.014267786092543946,-0.04068639001461061,-0.04463147260549183,0.00606256389660464,0.017642722146019363,0.021278895045877544,-0.005711350304549723,-0.03438890213970813,0.0020223613215566427,0.032337224834245726,0.08840844313102766,0.18598341913446254,0.17300102837545478,0.0143104818440301,0.014830959825036058,-0.03831670112850516,-0.03894406665041705,0.00423573395690214,-0.060085822505241304,-0.11336036671749317,-0.06808512261573307,-0.03204421575556804,-0.048653364641690566,-0.07702034964749116,-0.06947101458357474,0.28062088819866204,0.03678686151533973,175.1999969482422,-0.1067633290032528,-0.14674666792708346,-0.08329203266341612,-0.012813656005541407,-0.07835711703811254,-0.11233799806888045,-0.08292829609391705,0.3485918820887838,0.07215093131327266,18.489999771118164,3,1,0.007125495267981341,0.0015755864470929914
