Date,Adj Close,Close,High,Low,Open,Volume
2022-07-05,280.34661865234375,286.9599914550781,287.0799865722656,276.75,278.30999755859375,61829300
2022-07-06,282.14422607421875,288.79998779296875,290.95001220703125,285.5899963378906,287.3500061035156,63194700
2022-07-07,288.1817932128906,294.9800109863281,295.70001220703125,289.6300048828125,289.6300048828125,56620100
2022-07-08,288.54327392578125,295.3500061035156,296.75,291.1199951171875,292.0799865722656,59895500
2022-07-11,282.3786315917969,289.0400085449219,293.1099853515625,288.1400146484375,292.8800048828125,55273900
2022-07-12,279.64324951171875,286.239990234375,292.2799987792969,284.6099853515625,290.32000732421875,55797100
2022-07-13,279.0668029785156,285.6499938964844,288.04998779296875,280.0199890136719,280.6000061035156,73939400
2022-07-14,280.0633239746094,286.6700134277344,287.55999755859375,279.79998779296875,282.989990234375,63741800
2022-07-15,285.1434326171875,291.8699951171875,291.9800109863281,288.0799865722656,289.7300109863281,63818100
2022-07-18,282.7303771972656,289.3999938964844,296.1600036621094,288.20001220703125,294.7200012207031,59519600
2022-07-19,291.42523193359375,298.29998779296875,298.6000061035156,291.4700012207031,293.1099853515625,55172600
2022-07-20,296.0462951660156,303.0299987792969,304.239990234375,297.92999267578125,298.7300109863281,67769400
2022-07-21,300.2960205078125,307.3800048828125,307.44000244140625,300.7799987792969,303.5,55049400
2022-07-22,295.0301513671875,301.989990234375,308.54998779296875,300.1199951171875,306.42999267578125,57127700
2022-07-25,293.349853515625,300.2699890136719,302.5,298.2200012207031,302.0199890136719,40582400
2022-07-26,287.5858154296875,294.3699951171875,298.7900085449219,293.5400085449219,298.5299987792969,50074100
2022-07-27,299.7391662597656,306.80999755859375,308.5400085449219,298.4599914550781,299.0400085449219,69304400
2022-07-28,302.6699523925781,309.80999755859375,310.3999938964844,302.75,306.5899963378906,55139900
2022-07-29,308.1897888183594,315.4599914550781,316.3900146484375,309.92999267578125,311.3900146484375,57501000
2022-08-01,308.0041198730469,315.2699890136719,318.80999755859375,312.5299987792969,313.6499938964844,46358800
2022-08-02,307.0858459472656,314.3299865722656,318.54998779296875,311.8399963378906,312.9200134277344,48676500
2022-08-03,315.4485778808594,322.8900146484375,323.7300109863281,315.989990234375,316.04998779296875,53735700
2022-08-04,316.9237060546875,324.3999938964844,324.7200012207031,320.7699890136719,322.9700012207031,38973700
2022-08-05,314.3347473144531,321.75,323.8299865722656,318.3900146484375,319.19000244140625,53894000
2022-08-08,313.3187561035156,320.7099914550781,326.4700012207031,319.2099914550781,322.69000244140625,43878500
2022-08-09,309.7724304199219,317.0799865722656,319.0299987792969,315.4200134277344,318.7699890136719,39764200
2022-08-10,318.4184875488281,325.92999267578125,326.2300109863281,322.05999755859375,324.5899963378906,51459600
2022-08-11,316.61114501953125,324.0799865722656,330.3599853515625,323.3599853515625,328.30999755859375,45897700
2022-08-12,322.7756652832031,330.3900146484375,330.5899963378906,325.1000061035156,326.17999267578125,40928400
2022-08-15,325.3841552734375,333.05999755859375,333.57000732421875,329.3999938964844,329.4200134277344,38266600
2022-08-16,324.62213134765625,332.2799987792969,334.4200134277344,329.1600036621094,332.05999755859375,41186900
2022-08-17,320.9195251464844,328.489990234375,331.42999267578125,326.3599853515625,329.07000732421875,47842200
2022-08-18,321.6913146972656,329.2799987792969,330.489990234375,326.7900085449219,328.44000244140625,41937200
2022-08-19,315.4192199707031,322.8599853515625,326.8399963378906,322.0799865722656,326.1700134277344,51770600
2022-08-22,307.1151428222656,314.3599853515625,318.739990234375,313.5299987792969,318.5,51098900
